Time,"f","Points:0","Points:1","Points:2"
101,0,0,0,0
101,0,0.01999999955,0,0
101,0,0.02999999933,0,0
101,0,0.05000000075,0,0
101,0,0.0700000003,0,0
101,0,0.07999999821,0,0
101,0,0.1000000015,0,0
101,0,0.1199999973,0,0
101,0,0.1299999952,0,0
101,0,0.150000006,0,0
101,0,0.1700000018,0,0
101,0,0.1800000072,0,0
101,0,0.200000003,0,0
101,0,0.2199999988,0,0
101,0,0.2300000042,0,0
101,0,0.25,0,0
101,0,0.2700000107,0,0
101,0,0.2800000012,0,0
101,0,0.3000000119,0,0
101,0,0.3199999928,0,0
101,0,0.3300000131,0,0
101,0,0.349999994,0,0
101,0,0.3700000048,0,0
101,0,0.3799999952,0,0
101,0,0.400000006,0,0
101,0,0.4199999869,0,0
101,0,0.4300000072,0,0
101,0,0.4499999881,0,0
101,0,0.4699999988,0,0
101,0,0.4799999893,0,0
101,0,0.5,0,0
101,0,0.5199999809,0,0
101,0,0.5400000215,0,0
101,0,0.5500000119,0,0
101,0,0.5699999928,0,0
101,0,0.5899999738,0,0
101,0,0.6000000238,0,0
101,0,0.6200000048,0,0
101,0,0.6399999857,0,0
101,0.009999999776,0.6499999762,0,0
101,0.009999999776,0.6700000167,0,0
101,0.009999999776,0.6899999976,0,0
101,0.01999999955,0.6999999881,0,0
101,0.01999999955,0.7200000286,0,0
101,0.02999999933,0.7400000095,0,0
101,0.02999999933,0.75,0,0
101,0.03999999911,0.7699999809,0,0
101,0.05000000075,0.7900000215,0,0
101,0.0700000003,0.8000000119,0,0
101,0.07999999821,0.8199999928,0,0
101,0.1000000015,0.8399999738,0,0
101,0.1299999952,0.8500000238,0,0
101,0.1599999964,0.8700000048,0,0
101,0.1899999976,0.8899999857,0,0
101,0.2300000042,0.8999999762,0,0
101,0.2700000107,0.9200000167,0,0
101,0.3199999928,0.9399999976,0,0
101,0.3700000048,0.9499999881,0,0
101,0.4300000072,0.9700000286,0,0
101,0.5,0.9900000095,0,0
101,0.5799999833,1,0,0
101,0.6499999762,1.019999981,0,0
101,0.7400000095,1.039999962,0,0
101,0.8299999833,1.049999952,0,0
101,0.9200000167,1.070000052,0,0
101,1.00999999,1.090000033,0,0
101,1.110000014,1.100000024,0,0
101,1.210000038,1.120000005,0,0
101,1.299999952,1.139999986,0,0
101,1.389999986,1.149999976,0,0
101,1.480000019,1.169999957,0,0
101,1.559999943,1.190000057,0,0
101,1.629999995,1.200000048,0,0
101,1.690000057,1.220000029,0,0
101,1.74000001,1.24000001,0,0
101,1.779999971,1.25,0,0
101,1.799999952,1.269999981,0,0
101,1.820000052,1.289999962,0,0
101,1.809999943,1.299999952,0,0
101,1.799999952,1.320000052,0,0
101,1.769999981,1.340000033,0,0
101,1.730000019,1.350000024,0,0
101,1.669999957,1.370000005,0,0
101,1.610000014,1.389999986,0,0
101,1.539999962,1.399999976,0,0
101,1.450000048,1.419999957,0,0
101,1.370000005,1.440000057,0,0
101,1.279999971,1.450000048,0,0
101,1.179999948,1.470000029,0,0
101,1.090000033,1.49000001,0,0
101,0.9900000095,1.50999999,0,0
101,0.8999999762,1.519999981,0,0
101,0.8000000119,1.539999962,0,0
101,0.7200000286,1.559999943,0,0
101,0.6299999952,1.570000052,0,0
101,0.5600000024,1.590000033,0,0
101,0.4900000095,1.610000014,0,0
101,0.4199999869,1.620000005,0,0
101,0.3600000143,1.639999986,0,0
101,0.3100000024,1.659999967,0,0
101,0.2599999905,1.669999957,0,0
101,0.2199999988,1.690000057,0,0
101,0.1800000072,1.710000038,0,0
101,0.150000006,1.720000029,0,0
101,0.1199999973,1.74000001,0,0
101,0.1000000015,1.75999999,0,0
101,0.07999999821,1.769999981,0,0
101,0.05999999866,1.789999962,0,0
101,0.05000000075,1.809999943,0,0
101,0.03999999911,1.820000052,0,0
101,0.02999999933,1.840000033,0,0
101,0.01999999955,1.860000014,0,0
101,0.01999999955,1.870000005,0,0
101,0.009999999776,1.889999986,0,0
101,0.009999999776,1.909999967,0,0
101,0.009999999776,1.919999957,0,0
101,0.009999999776,1.940000057,0,0
101,0,1.960000038,0,0
101,0,1.970000029,0,0
101,0,1.99000001,0,0
101,0,2.00999999,0,0
101,0,2.019999981,0,0
101,0,2.039999962,0,0
101,0,2.059999943,0,0
101,0,2.069999933,0,0
101,0,2.089999914,0,0
101,0,2.109999895,0,0
101,0,2.119999886,0,0
101,0,2.140000105,0,0
101,0,2.160000086,0,0
101,0,2.170000076,0,0
101,0,2.190000057,0,0
101,0,2.210000038,0,0
101,0,2.220000029,0,0
101,0,2.24000001,0,0
101,0,2.25999999,0,0
101,0,2.269999981,0,0
101,0,2.289999962,0,0
101,0,2.309999943,0,0
101,0,2.319999933,0,0
101,0,2.339999914,0,0
101,0,2.359999895,0,0
101,0,2.369999886,0,0
101,0,2.390000105,0,0
101,0,2.410000086,0,0
101,0,2.420000076,0,0
101,0,2.440000057,0,0
101,0,2.460000038,0,0
101,0,2.470000029,0,0
101,0,2.49000001,0,0
101,0,2.50999999,0,0
101,0,2.529999971,0,0
101,0,2.539999962,0,0
101,0,2.559999943,0,0
101,0,2.579999924,0,0
101,0,2.589999914,0,0
101,0,2.609999895,0,0
101,0,2.630000114,0,0
101,0,2.640000105,0,0
101,0,2.660000086,0,0
101,0,2.680000067,0,0
101,0,2.690000057,0,0
101,0,2.710000038,0,0
101,0,2.730000019,0,0
101,0,2.74000001,0,0
101,0,2.75999999,0,0
101,0,2.779999971,0,0
101,0,2.789999962,0,0
101,0,2.809999943,0,0
101,0,2.829999924,0,0
101,0,2.839999914,0,0
101,0,2.859999895,0,0
101,0,2.880000114,0,0
101,0,2.890000105,0,0
101,0,2.910000086,0,0
101,0,2.930000067,0,0
101,0,2.940000057,0,0
101,0,2.960000038,0,0
101,0,2.980000019,0,0
101,0,2.99000001,0,0
101,0,3.00999999,0,0
101,0,3.029999971,0,0
101,0,3.039999962,0,0
101,0,3.059999943,0,0
101,0,3.079999924,0,0
101,0,3.089999914,0,0
101,0,3.109999895,0,0
101,0,3.130000114,0,0
101,0,3.140000105,0,0
101,0,3.160000086,0,0
101,0,3.180000067,0,0
101,0,3.190000057,0,0
101,0,3.210000038,0,0
101,-0,3.230000019,0,0
101,-0,3.24000001,0,0
101,-0,3.25999999,0,0
101,-0,3.279999971,0,0
101,-0,3.289999962,0,0
101,-0,3.309999943,0,0
101,-0,3.329999924,0,0
101,-0,3.339999914,0,0
101,-0,3.359999895,0,0
101,-0,3.380000114,0,0
101,-0,3.390000105,0,0
101,-0,3.410000086,0,0
101,-0,3.430000067,0,0
101,-0,3.440000057,0,0
101,-0,3.460000038,0,0
