The training reference is the 35-th snapshot.
Epoch [0]    ShiftNet loss = 3523.586012.
Epoch [1000]    ShiftNet loss = 3329.634515.
Epoch [2000]    ShiftNet loss = 3096.413709.
Epoch [3000]    ShiftNet loss = 2550.063266.
Epoch [4000]    ShiftNet loss = 2255.058672.
Epoch [5000]    ShiftNet loss = 2031.328594.
Epoch [6000]    ShiftNet loss = 1624.961519.
Epoch [7000]    ShiftNet loss = 697.592423.
Epoch [8000]    ShiftNet loss = 491.324566.
Epoch [9000]    ShiftNet loss = 367.006200.
Epoch [10000]    ShiftNet loss = 335.195630.
Epoch [11000]    ShiftNet loss = 320.518146.
Epoch [12000]    ShiftNet loss = 311.086180.
Epoch [13000]    ShiftNet loss = 304.459130.
Epoch [14000]    ShiftNet loss = 299.594461.
Epoch [15000]    ShiftNet loss = 296.374257.
Epoch [16000]    ShiftNet loss = 293.555085.
Epoch [17000]    ShiftNet loss = 291.409383.
Epoch [18000]    ShiftNet loss = 289.604560.
Epoch [19000]    ShiftNet loss = 288.515442.
Epoch [20000]    ShiftNet loss = 286.899858.
Epoch [21000]    ShiftNet loss = 285.743797.
Epoch [22000]    ShiftNet loss = 284.685682.
Epoch [23000]    ShiftNet loss = 283.715593.
Epoch [24000]    ShiftNet loss = 282.695033.
Epoch [25000]    ShiftNet loss = 281.919278.
Epoch [26000]    ShiftNet loss = 281.022960.
Epoch [27000]    ShiftNet loss = 280.174138.
Epoch [28000]    ShiftNet loss = 279.389896.
Epoch [29000]    ShiftNet loss = 278.536987.
