Epoch,Loss
0,53.610117489701665
1,53.603007053979745
2,53.593524069743474
3,53.87644770202197
4,53.598397415293725
5,53.597499804675266
6,53.597975817394946
7,53.593635240903694
8,53.585625819601375
9,53.579163254302024
10,53.57365767884953
11,53.56934521234114
12,53.56609680155829
13,53.5629026900091
14,53.559433398351096
15,53.55399785979647
16,53.54631030632373
17,53.541302692226616
18,53.54114515182752
19,53.542507689428454
20,53.54351618727398
21,53.54385936351862
22,53.543603922357654
23,53.542939315794484
24,53.54221167190607
25,53.54184231772412
26,53.54186148982266
27,53.541758205744905
28,53.54116921227964
29,53.54026385902444
30,53.539547002834276
31,53.53938040684193
32,53.5395995858621
33,53.53978021593425
34,53.53975607835172
35,53.539616527213006
36,53.539444417000134
37,53.53935848570119
38,53.539424810055976
39,53.53946404891547
40,53.539424115254114
41,53.539390415841915
42,53.53936308041578
43,53.53937569599564
44,53.539390122708
45,53.539370337930045
46,53.53936268751723
47,53.539360335335004
48,53.53936721419177
49,53.53936246981447
50,53.539357460663695
51,53.53935863449654
52,53.53935987832271
53,53.53935717674997
54,53.53935634949435
55,53.539356830619425
56,53.53935673473578
57,53.5393555167329
58,53.53935558441104
59,53.539355471236114
60,53.53935467127164
61,53.539354919586025
62,53.53935416513185
63,53.539354188662394
64,53.539354015216944
65,53.539353874866414
66,53.539353241523806
67,53.53935336897482
68,53.53935394555264
69,53.539357296373296
70,53.53937940254821
71,53.53948685674285
72,53.53953691784997
73,53.53940100963538
74,53.53937839145017
75,53.53944307367378
76,53.53940217938778
77,53.53935391128517
78,53.53940025035836
79,53.53942474077194
80,53.53937013937877
81,53.53935017040672
82,53.53935990973754
83,53.53938368944673
84,53.5394327586811
85,53.53948601372674
86,53.539634691171095
87,53.53958827373609
88,53.53957256851316
89,53.53941551235569
90,53.53935834844899
91,53.53934976465674
92,53.539366524487875
93,53.53943305463713
94,53.539595857347486
95,53.540043477634846
96,53.53959104838049
97,53.539351152170966
98,53.53946695283159
99,53.53963421286796
100,53.53971709799204
101,53.53944270910751
102,53.53936994415868
103,53.5394992866278
104,53.539524499474815
105,53.53954086786877
106,53.53948644863782
107,53.53938197831593
108,53.53936616154527
