"Points:0","Points:1","Points:2","U_new:0","U_new:1","U_new:2","f"
0.72768,-0.096167,7.5061e-18,0.8,-0.8,0,-5.3638e-34
0.7298,-0.094045,-0.0051962,0.8,-0.8,0,-5.3638e-34
0.73405,-0.089803,-0.0051962,0.8,-0.8,0,-5.3638e-34
0.64212,0.0021213,-0.0051962,0.8,-0.8,0,-5.3638e-34
0.63788,-0.0021213,-0.0051962,0.8,-0.8,0,-5.3638e-34
0.63576,-0.0042426,1.4136e-18,0.8,-0.8,0,-5.3638e-34
0.63788,-0.0021213,0.0051962,0.8,-0.8,0,-5.3638e-34
0.64212,0.0021213,0.0051962,0.8,-0.8,0,-5.3638e-34
0.64424,0.0042426,-6.7886e-19,0.8,-0.8,0,-5.3638e-34
0.78142,-0.14142,9.373e-18,0.8,-0.8,0,-5.3638e-34
0.71778,-0.10607,8.3553e-18,0.8,-0.8,0,-5.3638e-34
0.72485,-0.098995,-0.017321,0.8,-0.8,0,-5.3638e-34
0.73899,-0.084853,-0.017321,0.8,-0.8,0,-5.3638e-34
0.74607,-0.077782,1.3803e-18,0.8,-0.8,0,-5.3638e-34
0.73899,-0.084853,0.017321,0.8,-0.8,0,-5.3638e-34
0.72485,-0.098995,0.017321,0.8,-0.8,0,-5.3638e-34
1.0562,-0.087681,5.4136e-18,0.8,-0.8,0,-1.4856e-27
0.96424,0.0042426,-6.7886e-19,0.8,-0.8,0,-1.4856e-27
1.054,-0.089803,0.0051962,0.8,-0.8,0,-1.4856e-27
0.96212,0.0021213,0.0051962,0.8,-0.8,0,-1.4856e-27
1.0498,-0.094045,0.0051962,0.8,-0.8,0,-1.4856e-27
0.95788,-0.0021213,0.0051962,0.8,-0.8,0,-1.4856e-27
1.0477,-0.096167,7.5061e-18,0.8,-0.8,0,-1.4856e-27
0.95576,-0.0042426,1.4136e-18,0.8,-0.8,0,-1.4856e-27
1.0498,-0.094045,-0.0051962,0.8,-0.8,0,-1.4856e-27
